,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe
182,新桥居委会,3,1,1,罗店镇,宝山区,121.340530951342,31.4122762480504,0.9166666666666665,POINT (121.340530951342 31.4122762480504),-0.9315621341982521,-0.814136180259632,0.7473405353556745,-0.42920557533515186,very happy
183,新桥居委会,3,1,1,南码头路街道,浦东新区,121.503794218228,31.191124067122,0.9166666666666665,POINT (121.503794218228 31.191124067122),-0.679584289863603,-0.08794018958769832,-0.6564614892764179,-0.8509374217465573,very happy
184,新桥居委会,2,1,0,南京东路街道,黄浦区,121.460605005416,31.2418957069214,0.5,POINT (121.460605005416 31.2418957069214),0.5354321650103214,1.6065171219801466,1.415817689942385,0.8359899638990643,very unhappy
185,新桥居委会,2,1,0,天目西路街道,静安区,121.452173394486,31.2415690686576,0.5,POINT (121.452173394486 31.2415690686576),0.6855833462234342,2.2116804475400915,1.282122259025043,1.2577218103104697,very unhappy
186,新桥居委会,2,1,0,张庙街道,宝山区,121.448258999952,31.3412723542357,0.5,POINT (121.448258999952 31.3412723542357),-0.034106798211830644,-0.08794018958769832,-0.25537519652439156,-0.42920557533515186,very unhappy
187,新桥居委会,2,1,0,罗店镇,宝山区,121.340530951342,31.4122762480504,0.5,POINT (121.340530951342 31.4122762480504),-0.9315621341982521,-0.814136180259632,0.7473405353556745,-0.42920557533515186,very unhappy
188,新桥居委会,2,1,0,南码头路街道,浦东新区,121.503794218228,31.191124067122,0.5,POINT (121.503794218228 31.191124067122),-0.679584289863603,-0.08794018958769832,-0.6564614892764179,-0.8509374217465573,very unhappy
189,新梅绿岛苑居委会,3,1,1,庙行镇,宝山区,121.42567355469,31.3364438995663,0.9166666666666665,POINT (121.42567355469 31.3364438995663),-0.595016383203344,-0.9351688453716208,-0.8570046356524311,-0.8509374217465573,very happy
190,新民居委会,4,1,0,横沙乡,崇明区,121.839592837839,31.3398847704658,0.6666666666666666,POINT (121.839592837839 31.3398847704658),-0.9401915124288907,-1.0562015104836098,-0.8570046356524311,-0.8509374217465573,very unhappy
191,新泾二村居委会,3,1,1,北新泾街道,长宁区,121.369467594154,31.217472588789,0.9166666666666665,POINT (121.369467594154 31.217472588789),0.03147647634102323,0.5172231359722463,0.279406527144977,-0.0074737289237464645,very happy
192,新泾五村居委会,3,1,1,北新泾街道,长宁区,121.361698883396,31.2206023778974,0.9166666666666665,POINT (121.361698883396 31.2206023778974),0.395636237673975,0.6382558010842353,0.012015665310292719,0.4142581174876589,very happy
193,新泾八村居委会,2,1,1,北新泾街道,长宁区,121.35832112422,31.2188030692063,0.8333333333333333,POINT (121.35832112422 31.2188030692063),0.31624595795209925,0.8803211313082131,0.14571109622763484,-0.0074737289237464645,happy
194,新灵居委会,2,1,1,甘泉路街道,普陀区,121.422301700463,31.2684750638731,0.8333333333333333,POINT (121.422301700463 31.2684750638731),1.3327867135213343,-0.4510381849236651,0.279406527144977,-0.0074737289237464645,happy
195,新理想居委会,3,1,0,共和新路街道,静安区,121.450147218319,31.2674345212861,0.5833333333333333,POINT (121.450147218319 31.2674345212861),1.0428396049718751,0.3961904708602574,0.6136451044383323,0.8359899638990643,very unhappy
196,新码居委会,3,1,1,小东门街道,黄浦区,121.50050746055,31.2222787726473,0.9166666666666665,POINT (121.50050746055 31.2222787726473),0.038379978925534165,0.3961904708602574,-0.38907062744173365,-0.42920557533515186,very happy
197,方舟园居委会,3,1,0,岳阳街道,松江区,121.234975414783,31.0202673583519,0.5833333333333333,POINT (121.234975414783 31.0202673583519),-0.9401915124288907,-0.20897285469968727,-0.25537519652439156,-0.42920557533515186,very unhappy
198,施镇居委会,3,1,0,祝桥镇,浦东新区,121.74454939304,31.1532084697951,0.5833333333333333,POINT (121.74454939304 31.1532084697951),-0.9401915124288907,-0.9351688453716208,-0.8570046356524311,-0.8509374217465573,very unhappy
199,昌里路七居委会,3,1,1,周家渡街道,浦东新区,121.509417025175,31.1769740899823,0.9166666666666665,POINT (121.509417025175 31.1769740899823),-0.6191786422491323,0.03309247552429061,-0.054832050148378345,-0.8509374217465573,very happy
200,明丰花苑居委会,3,1,1,三林镇,浦东新区,121.528102235729,31.1531680398732,0.9166666666666665,POINT (121.528102235729 31.1531680398732),-0.8159284659076939,-1.0562015104836098,-0.8570046356524311,-0.8509374217465573,very happy
201,春申居委会,1,1,0,新桥镇,松江区,121.350720170299,31.0753533652656,0.41666666666666663,POINT (121.350720170299 31.0753533652656),-0.9332880098443798,-0.693103515147643,-0.79015692019376,-0.8509374217465573,very unhappy
202,昭通路居委会,3,1,0,外滩街道,黄浦区,121.480756708955,31.235985645721,0.5833333333333333,POINT (121.480756708955 31.235985645721),1.4208063714738486,3.179941768436003,5.560376048379991,2.5229173495446857,very unhappy
203,晋阳居委会,2,1,1,提篮桥街道,虹口区,121.507830564429,31.25484361604,0.8333333333333333,POINT (121.507830564429 31.25484361604),0.8771555429436126,0.15412514063627955,-0.32222291198306263,0.4142581174876589,happy
204,晨星居委会,3,1,1,新桥镇,松江区,121.309775162593,31.0497091098875,0.9166666666666665,POINT (121.309775162593 31.0497091098875),-0.9401915124288907,-0.9351688453716208,-0.8570046356524311,-0.8509374217465573,very happy
205,景德路居委会,3,1,1,岳阳街道,松江区,121.234724339356,31.0097703895918,0.9166666666666665,POINT (121.234724339356 31.0097703895918),-0.9401915124288907,0.2751578057482685,0.279406527144977,1.2577218103104697,very happy
206,曙光第二社区居委会,4,1,1,南桥镇,奉贤区,121.469441863451,30.9217674187314,1.0,POINT (121.469441863451 30.9217674187314),-0.9401915124288907,-0.4510381849236651,-0.12167976560704942,-0.0074737289237464645,very happy
207,曹杨花苑居委会,3,1,1,真如镇街道,普陀区,121.399369632202,31.2564660865407,0.9166666666666665,POINT (121.399369632202 31.2564660865407),0.5906601856864089,-0.572070850035654,-0.12167976560704942,-0.42920557533515186,very happy
208,曹王社区居委会,3,1,0,徐行镇,嘉定区,121.300650320056,31.4332682196526,0.5833333333333333,POINT (121.300650320056 31.4332682196526),-0.9401915124288907,-1.0562015104836098,-0.5227660583590759,-0.8509374217465573,very unhappy
209,望族新苑居委会,2,1,1,梅陇镇,闵行区,121.394693391386,31.1407979082968,0.8333333333333333,POINT (121.394693391386 31.1407979082968),-0.3672007979144832,-0.08794018958769832,-0.18852748106572048,-0.42920557533515186,happy
210,未来街区居委会,3,1,1,长征镇,普陀区,121.360039545188,31.2378808581151,0.9166666666666665,POINT (121.360039545188 31.2378808581151),0.34213409264401523,0.5172231359722463,-0.5896137738177468,-0.42920557533515186,very happy
211,朱龙居委会,2,1,0,九亭镇,松江区,121.307939840551,31.1222499360857,0.5,POINT (121.307939840551 31.1222499360857),-0.9160292533831025,-0.9351688453716208,-0.6564614892764179,-0.8509374217465573,very unhappy
212,李园二村社区居委会,3,0,1,嘉定镇街道,嘉定区,121.247717585098,31.390366936485,0.5833333333333333,POINT (121.247717585098 31.390366936485),-0.9315621341982521,0.3961904708602574,0.8141882508143455,0.4142581174876589,very unhappy
213,松沪居委会,2,0,1,九亭镇,松江区,121.323049923115,31.1527351718906,0.5,POINT (121.323049923115 31.1527351718906),-0.7934920825080334,-0.693103515147643,-0.4559183429004047,-0.8509374217465573,very unhappy
214,果育居委会,2,1,1,豫园街道,黄浦区,121.48645308674,31.2250363251663,0.8333333333333333,POINT (121.48645308674 31.2250363251663),1.139488641155028,1.4854844568681578,3.5549445846198595,-0.42920557533515186,happy
215,柘林镇居委会,2,1,0,柘林镇,奉贤区,121.470372366791,30.830913116747,0.5,POINT (121.470372366791 30.830913116747),-0.9401915124288907,-0.9351688453716208,-0.8570046356524311,-0.8509374217465573,very unhappy
216,柳营新村第二居委会,2,1,1,共和新路街道,静安区,121.45735444725,31.2697782255846,0.8333333333333333,POINT (121.45735444725 31.2697782255846),1.087712371771196,0.6382558010842353,0.7473405353556745,0.8359899638990643,happy
217,柳营桥居委会,2,1,1,共和新路街道,静安区,121.454197480629,31.2669203923622,0.8333333333333333,POINT (121.454197480629 31.2669203923622),1.1256816359860062,0.5172231359722463,0.47994967352099016,0.8359899638990643,happy
218,柿子湾居委会,3,1,1,徐家汇街道,徐汇区,121.423356142971,31.1902461453433,0.9166666666666665,POINT (121.423356142971 31.1902461453433),0.4577677609345734,2.2116804475400915,1.2152745435663719,2.9446491959560914,very happy
219,桃园社区居委会,3,1,1,嘉定镇街道,嘉定区,121.241447055837,31.3916518842271,0.9166666666666665,POINT (121.241447055837 31.3916518842271),-0.9367397611366353,0.03309247552429061,0.7473405353556745,-0.42920557533515186,very happy
220,桃园社区居委会,3,1,1,嘉定镇街道,嘉定区,121.241447055837,31.3916518842271,0.9166666666666665,POINT (121.241447055837 31.3916518842271),-0.9367397611366353,0.03309247552429061,0.7473405353556745,-0.42920557533515186,very happy
221,桑城居委会,3,1,0,五里桥街道,黄浦区,121.477681038349,31.2069590518188,0.5833333333333333,POINT (121.477681038349 31.2069590518188),2.1474000184936246,0.8803211313082131,-0.054832050148378345,0.8359899638990643,very unhappy
222,梅陇第三居委会,2,1,1,梅陇镇,闵行区,121.408612666341,31.1379846157974,0.8333333333333333,POINT (121.408612666341 31.1379846157974),0.09015624830936617,-0.08794018958769832,0.07886338076896379,-0.42920557533515186,happy
223,梓树园居委会,3,1,1,漕河泾街道,徐汇区,121.425737286047,31.1638998530958,0.9166666666666665,POINT (121.425737286047 31.1638998530958),0.5699496779328761,0.3961904708602574,-0.32222291198306263,0.4142581174876589,very happy
224,梦湖苑居委会,2,1,1,凉城新村街道,虹口区,121.45846668379,31.2861395259184,0.8333333333333333,POINT (121.45846668379 31.2861395259184),0.21787104612281843,-0.3300055198116762,-0.5896137738177468,-0.42920557533515186,happy
225,梧州居委会,3,1,1,嘉兴路街道,虹口区,121.488322299734,31.2584121385094,0.9166666666666665,POINT (121.488322299734 31.2584121385094),1.5692316770408337,3.058909103324014,0.6136451044383323,-0.42920557533515186,very happy
226,欧三居委会,2,1,1,欧阳路街道,虹口区,121.482185140831,31.2705862367654,0.8333333333333333,POINT (121.482185140831 31.2705862367654),1.8401941534828878,2.937876438212025,0.47994967352099016,0.4142581174876589,happy
227,欧四居委会,2,1,1,欧阳路街道,虹口区,121.484418824769,31.2735925894265,0.8333333333333333,POINT (121.484418824769 31.2735925894265),2.452880007858233,1.7275497870921357,0.14571109622763484,1.2577218103104697,happy
228,民乐社区居委会,4,1,0,嘉定工业区,嘉定区,121.249384334619,31.3722144402442,0.6666666666666666,POINT (121.249384334619 31.3722144402442),-0.9229327559676134,-0.693103515147643,-0.4559183429004047,-0.42920557533515186,very unhappy
229,民乐社区居委会,4,1,0,盈浦街道,青浦区,121.089975787752,31.1629426938503,0.6666666666666666,POINT (121.089975787752 31.1629426938503),-0.9401915124288907,-1.0562015104836098,-0.8570046356524311,-0.8509374217465573,very unhappy
230,民治路居委会,2,1,1,长白新村街道,杨浦区,121.547859914803,31.3008015419576,0.8333333333333333,POINT (121.547859914803 31.3008015419576),0.22822629999958485,-0.4510381849236651,-0.4559183429004047,-0.0074737289237464645,happy
231,水岸社区居委会,2,1,1,西渡街道,奉贤区,121.428741469543,30.9865193875597,0.8333333333333333,POINT (121.428741469543 30.9865193875597),-0.9401915124288907,-0.20897285469968727,-0.723309204735089,-0.8509374217465573,happy
232,水清一村居委会,2,1,0,莘庄镇,闵行区,121.375115956236,31.1154761668916,0.5,POINT (121.375115956236 31.1154761668916),-0.5812093780343222,0.5172231359722463,0.34625424260364807,1.2577218103104697,very unhappy
233,永乐居委会,3,1,1,江宁路街道,静安区,121.437756732387,31.2376073167243,0.9166666666666665,POINT (121.437756732387 31.2376073167243),0.9789822060651489,2.4537457777640697,0.8141882508143455,0.8359899638990643,very happy
234,永乐居委会,3,1,1,共和新路街道,静安区,121.441064312068,31.268430402641,0.9166666666666665,POINT (121.441064312068 31.268430402641),0.6182741960244525,-0.08794018958769832,0.21255881168630592,0.4142581174876589,very happy
235,永泰路第一居委会,3,1,1,三林镇,浦东新区,121.535757546473,31.159006323483,0.9166666666666665,POINT (121.535757546473 31.159006323483),-0.7848627042773947,-0.9351688453716208,-0.79015692019376,-0.8509374217465573,very happy
236,永美居委会,3,1,1,四川北路街道,虹口区,121.480142927054,31.2619176355904,0.9166666666666665,POINT (121.480142927054 31.2619176355904),1.7504486198842457,3.9061377591079367,1.348969974483714,0.4142581174876589,very happy
237,汇佳苑居委会,3,1,1,沪东新村街道,浦东新区,121.575667476772,31.2824489735413,0.9166666666666665,POINT (121.575667476772 31.2824489735413),-0.8487201031841208,-0.814136180259632,-0.4559183429004047,-0.8509374217465573,very happy
238,汇成三村居委会,2,1,0,长桥街道,徐汇区,121.429095702604,31.1461600944128,0.5,POINT (121.429095702604 31.1461600944128),0.0711716162019611,-0.572070850035654,-0.5227660583590759,1.2577218103104697,very unhappy
239,汇腾社区居委会,2,1,1,周浦镇,浦东新区,121.582565223806,31.0940620975877,0.8333333333333333,POINT (121.582565223806 31.0940620975877),-0.9246586316137411,-1.0562015104836098,-0.8570046356524311,-0.8509374217465573,happy
240,江中居委会,3,1,1,方松街道,松江区,121.221493510716,31.0323458559765,0.9166666666666665,POINT (121.221493510716 31.0323458559765),-0.9401915124288907,-0.3300055198116762,-0.5896137738177468,0.4142581174876589,very happy
241,江安社区居委会,2,1,1,江桥镇,嘉定区,121.337258533354,31.2557442591902,0.8333333333333333,POINT (121.337258533354 31.2557442591902),-0.13075583439498373,-0.4510381849236651,-0.25537519652439156,-0.0074737289237464645,happy
242,江海第二居委会,2,0,1,南桥镇,奉贤区,121.449386069011,30.9075720564053,0.5,POINT (121.449386069011 30.9075720564053),-0.9401915124288907,0.3961904708602574,0.34625424260364807,-0.8509374217465573,very unhappy
